ID,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST
1012710.2016.4.24,9.4,13.2,11.3,0,50
1012710.2016.4.25,8.8,13.6,11.2,0.8,39
1012710.2016.4.26,5.3,12.5,8.9,0,0
1012710.2016.4.27,8.3,14.1,11.2,0,0
1012710.2016.4.28,10.6,15.6,13.1,0,46
1012710.2016.4.29,10.2,15.4,12.8,0,39
1012710.2016.4.30,7.2,15.8,11.5,0,32
1012710.2016.5.1,8,22.9,15.5,0,0
1012710.2016.5.2,10.7,26.1,18.4,0,32
1012710.2016.5.3,12.1,19.8,16,0.4,39
1012710.2016.5.4,10.3,12.6,11.5,0.2,0
1012710.2016.5.5,8,16.4,12.2,0,0
1012710.2016.5.6,9.6,20.3,15,0,0
1012710.2016.5.7,10.3,22.8,16.6,0,56
1012710.2016.5.8,10.7,14.6,12.7,0,48
1012710.2016.5.9,7.9,18.3,13.1,0,0
1012710.2016.5.10,8.3,19.9,14.1,0,0
1012710.2016.5.11,9.7,18,13.9,0,0
1012710.2016.5.12,9.3,16.7,13,0,0
1012710.2016.5.13,10.5,21.2,15.9,0,0
1012710.2016.5.14,12.6,17.3,15,0,41
1012710.2016.5.15,11.4,15.3,13.4,0,46
1012710.2016.5.16,11.4,15,13.2,0,39
1012710.2016.5.17,9.5,16.6,13.1,0,32
1012710.2016.5.18,10.9,15.6,13.3,0,56
1012710.2016.5.19,9.9,15.1,12.5,0,44
1012710.2016.5.20,8.9,15.1,12,0,0
1012710.2016.5.21,10.1,16.2,13.2,0,32
1012710.2016.5.22,12,17.1,14.6,0,39
1012710.2016.5.23,12,16.6,14.3,0,33
1012710.2016.5.24,11.9,16.4,14.2,0,0
1012710.2016.5.25,11.6,16.1,13.9,0,43
1012710.2016.5.26,11,14.4,12.7,0,52
1012710.2016.5.27,9.9,14.6,12.3,0,50
1012710.2016.5.28,9.4,14.3,11.9,6.8,33
1012710.2016.5.29,10.9,16,13.5,0,39
1012710.2016.5.30,8.7,16.5,12.6,0,0
1012710.2016.5.31,11.2,19.6,15.4,0,0
1012710.2016.6.1,11.6,18,14.8,7.6,44
1012710.2016.6.2,12.3,17.7,15,0.8,46
1012710.2016.6.3,11.6,22,16.8,0,0
1012710.2016.6.4,13.3,20.2,16.8,0,0
1012710.2016.6.5,13.5,23.2,18.4,0,0
1012710.2016.6.6,12.5,26.4,19.5,0,37
1012710.2016.6.7,11.4,20.3,15.9,0,37
1012710.2016.6.8,12.6,19,15.8,0.2,54
1012710.2016.6.9,10.6,14.5,12.6,0.6,37
1012710.2016.6.10,10.2,15.4,12.8,0,0
1012710.2016.6.11,10.7,15.9,13.3,0,44
1012710.2016.6.12,11,17.8,14.4,0,0
1012710.2016.6.13,11.2,14.4,12.8,0,56
1012710.2016.6.14,9.4,13.4,11.4,0.4,44
1012710.2016.6.15,9,14.4,11.7,0.2,0
1012710.2016.6.16,7.8,15.9,11.9,0,41
1012710.2016.6.17,8.8,20.1,14.5,0,0
1012710.2016.6.18,11.6,16.7,14.2,0,44
1012710.2016.6.19,10.6,17.8,14.2,0,0
1012710.2016.6.20,12.2,20.8,16.5,0,46
1012710.2016.6.21,13.7,17.9,15.8,0,48
1012710.2016.6.22,12.1,18.8,15.5,5,32
1012710.2016.6.23,11.4,17.6,14.5,4.2,41
1012710.2016.6.24,10.9,18,14.5,0.2,50
1012710.2016.6.25,12.9,17.7,15.3,0,37
1012710.2016.6.26,11.7,22.1,16.9,0,0
1012710.2016.6.27,12.5,25.2,18.9,0,37
1012710.2016.6.28,13.1,22.3,17.7,0,0
1012710.2016.6.29,13.8,18.4,16.1,0,41
1012710.2016.6.30,13.1,18.3,15.7,0,41
1012710.2016.7.1,12.2,15.9,14.1,0,37
1012710.2016.7.2,14.5,19.1,16.8,0,46
1012710.2016.7.3,13,17.9,15.5,0,59
1012710.2016.7.4,13,17.6,15.3,0,57
1012710.2016.7.5,12.6,17.1,14.9,0,41
1012710.2016.7.6,11.5,17.5,14.5,0,0
1012710.2016.7.7,11.2,17.9,14.6,3,0
1012710.2016.7.8,11,19.1,15.1,0.6,0
1012710.2016.7.9,11.3,17.1,14.2,7.4,0
1012710.2016.7.10,12.2,20.2,16.2,0,48
1012710.2016.7.11,12.2,16.5,14.4,0.2,43
1012710.2016.7.12,12.8,18.8,15.8,0,39
1012710.2016.7.13,13.4,20.3,16.9,0,0
1012710.2016.7.14,13.2,20.6,16.9,0,44
1012710.2016.7.15,12.2,19,15.6,0,33
1012710.2016.7.16,13.5,17.4,15.5,0,0
1012710.2016.7.17,13.6,20.1,16.9,0,0
1012710.2016.7.18,13.4,20.3,16.9,0,43
1012710.2016.7.19,13.3,19.6,16.5,0,37
1012710.2016.7.20,13.8,19.4,16.6,0,0
1012710.2016.7.21,13.2,23.1,18.2,0,32
1012710.2016.7.22,15.3,20.1,17.7,0.4,46
1012710.2016.7.23,13.8,19.1,16.5,0,0
1012710.2016.7.24,12.5,20.5,16.5,0,0
1012710.2016.7.25,13.5,23.8,18.7,0,37
1012710.2016.7.26,14.9,21.2,18.1,0,0
1012710.2016.7.27,11.7,22.5,17.1,0,0
1012710.2016.7.28,12.5,20.3,16.4,0,0
1012710.2016.7.29,12.4,19.4,15.9,0,0
1012710.2016.7.30,12.2,19.8,16,0,32
1012710.2016.7.31,12.1,19.7,15.9,0,0
1012710.2016.8.1,12.5,20.5,16.5,0,43
1012710.2016.8.2,13.9,17.9,15.9,0,50
1012710.2016.8.3,13.2,16.9,15.1,0,35
1012710.2016.8.4,12.6,20,16.3,0,0
1012710.2016.8.5,12.1,20,16.1,0,46
1012710.2016.8.6,12.1,16.9,14.5,0,0
1012710.2016.8.7,12.6,16.6,14.6,0,33
1012710.2016.8.8,13.3,19.7,16.5,0.2,0
1012710.2016.8.9,12.7,19.2,16,0,32
1012710.2016.8.10,12.9,18.2,15.6,0.2,0
1012710.2016.8.11,12.8,21.1,17,0,0
1012710.2016.8.12,13.8,23.1,18.5,0,0
1012710.2016.8.13,14.4,25,19.7,0,0
1012710.2016.8.14,13.6,20.8,17.2,0,37
1012710.2016.8.15,14.9,21.9,18.4,0,0
1012710.2016.8.16,13.5,23.2,18.4,0,33
1012710.2016.8.17,12.5,19.7,16.1,0,0
1012710.2016.8.18,13.3,25.2,19.3,0,0
1012710.2016.8.19,15.5,29.1,22.3,0,0
1012710.2016.8.20,13.8,22.8,18.3,0,0
1012710.2016.8.21,12.8,17.6,15.2,0,56
1012710.2016.8.22,12.9,17.1,15,0,44
